CodeInsee,CodePostal,Commune ,Latitude ,Longitude,Id
4062,4530,LA CONDAMINE-CHATELARD,6.696291704,44.46276867,394
13028,13600,LA CIOTAT,5.613189558,43.19264109,395
84151,84240,VITROLLES-EN-LUBERON,5.598999464,43.8137921,396
4201,4150,SAUMANE,5.682146022,44.08128085,397
6001,6910,AIGLUN,6.934942333,43.8524188,398
84102,84220,ROUSSILLON,5.292018857,43.90128169,399
5175,5290,VALLOUISE,6.411970143,44.83082805,400
84134,84850,TRAVAILLAN,4.908561494,44.18945001,401
4027,4200,BEVONS,5.878959287,44.17799648,402
5032,5260,CHAMPOLEON,6.273122099,44.7457461,403
13108,13150,TARASCON,4.686148492,43.79398853,404
84048,84400,GIGNAC,5.523087164,43.92851099,405
83048,83420,LA CROIX-VALMER,6.58628136,43.19518907,406
5039,5800,CHAUFFAYER,6.01187494,44.75815014,407
4126,4140,MONTCLAR,6.341128052,44.40161384,408
4094,4800,GREOUX-LES-BAINS,5.864950462,43.76761028,409
5044,5200,CREVOUX,6.624703727,44.53760654,410
83042,83310,COGOLIN,6.521922341,43.24645505,411
4229,4200,VALBELLE,5.876276698,44.13712077,412
4072,4420,DRAIX,6.371799776,44.12993915,413
84034,84510,CAUMONT-SUR-DURANCE,4.956330773,43.89135805,414
4169,4150,LA ROCHEGIRON,5.663813974,44.10941839,415
6135,6910,SIGALE,6.965586181,43.87579991,416
6113,6500,SAINTE-AGNES,7.46128497,43.80553446,417
84061,84290,LAGARDE-PAREOL,4.851094278,44.22721545,418
13201,13001,MARSEILLE--1ER-ARRONDISSEMENT,5.382278698,43.29990094,419
5152,5800,SAINT-MAURICE-EN-VALGODEMARD,6.112788002,44.79818638,420
84125,84390,SAVOILLAN,5.372838028,44.17444464,421
83012,83670,BARJOLS,5.987770496,43.55238794,422
4067,4200,CUREL,5.672674647,44.17660551,423
5048,5700,L'EPINE,5.61094352,44.42487965,424
84091,84420,PIOLENC,4.765852891,44.17746971,425
4107,4270,MAJASTRES,6.283691346,43.89807803,426
5034,5300,CHATEAUNEUF-DE-CHABRE,5.79561242,44.28688561,427
84094,84110,PUYMERAS,5.135909338,44.28495171,428
4137,4250,NIBLES,6.008726217,44.28925418,429
4158,4500,QUINSON,6.022694923,43.70806249,430
5017,5230,LA BATIE-NEUVE,6.212679835,44.57975663,431
13072,13790,PEYNIER,5.62516789,43.43968641,432
83148,83550,VIDAUBAN,6.449084855,43.40150463,433
84116,84110,SAINT-ROMAIN-EN-VIENNOIS,5.101650309,44.26182772,434
84039,84350,COURTHEZON,4.881633421,44.0865791,435
4220,4400,LES THUILES,6.561355974,44.39035846,436
83041,83830,CLAVIERS,6.585699086,43.59883618,437
5058,5310,FREISSINIERES,6.459377041,44.73649218,438
84022,84110,BUISSON,5.001808622,44.27618461,439
13043,13180,GIGNAC-LA-NERTHE,5.228347529,43.39050741,440
84110,84390,SAINT-LEGER-DU-VENTOUX,5.27072625,44.20594768,441
83054,83210,LA FARLEDE,6.042753255,43.1615363,442
5172,5700,TRESCLEOUX,5.718257302,44.35495087,443
4206,4300,SIGONCE,5.856583156,44.00452276,444
6002,6910,AMIRAT,6.812559505,43.89629735,445
6128,6570,SAINT-PAUL-DE-VENCE,7.121169519,43.69501903,446
4132,4150,MONTSALIER,5.595741738,44.02995258,447
4195,4400,SAINT-PONS,6.615074249,44.41727132,448
4001,4510,AIGLUN,6.138428453,44.06387446,449
84035,84300,CAVAILLON,5.036063009,43.85083618,450
4093,4250,GIGORS,6.140973063,44.42399944,451
84064,84840,LAPALUD,4.67951576,44.30654289,452
4231,4200,VALERNES,5.969547642,44.25155897,453
