CodeInsee,Name,Longitude,Latitude,Id
83152,RAYOL-CANADEL-SUR-MER,43.16429734,6.474774783,350
84149,VIOLES,44.17671002,4.951382296,351
83010,BARGEME,43.73013627,6.570867323,352
4053,CHATEAUNEUF-VAL-SAINT-DONAT,44.09545342,5.930546831,353
4031,BRAS-D'ASSE,43.92632572,6.126497725,354
4124,MONTAGNAC-MONTPEZAT,43.76652507,6.094548059,355
83049,CUERS,43.24116455,6.068563505,356
6012,BEAUSOLEIL,43.74772438,7.422221546,357
13029,CORNILLON-CONFOUX,43.57834007,5.076595752,358
83150,VINON-SUR-VERDON,43.7224278,5.807476059,359
83146,LAVERDIERE,43.64610992,5.952322759,360
4219,THORAME-HAUTE,44.0855015,6.601287415,361
83002,AIGUINES,43.72843695,6.304394299,362
5050,ESPINASSES,44.49317861,6.232713481,363
84046,FLASSAN,44.09854221,5.263720295,364
4128,MONTFURON,43.83158008,5.688593185,365
4059,CLUMANC,44.02209426,6.377643211,366
13037,LAFARE-LES-OLIVIERS,43.55444852,5.202476214,367
4204,SENEZ,43.92249782,6.369033713,368
13216,MARSEILLE-16E--ARRONDISSEMENT,43.36490541,5.313378286,369
4061,COLMARS,44.17242728,6.661540614,370
4070,DIGNE-LES-BAINS,44.09087236,6.235903235,371
5159,SALEON,44.32015511,5.775271694,372
6038,CHATEAUNEUF-GRASSE,43.66563458,6.979140593,373
84032,CASENEUVE,43.88886887,5.47985826,374
4244,VOLONNE,44.12394789,6.034678275,375
4110,MALLEMOISSON,44.0420072,6.118071472,376
4101,LARDIERS,44.08507929,5.726916122,377
13082,ROGNES,43.66487818,5.35218247,378
13209,MARSEILLE--9E--ARRONDISSEMENT,43.23408349,5.452496831,379
4028,BEYNES,43.98349652,6.240256631,380
4109,MALLEFOUGASSE-AUGES,44.07599186,5.897796486,381
83073,LELUC,43.38046489,6.305999501,382
4046,LECHAFFAUT-SAINT-JURSON,44.02318043,6.140737987,383
83067,GONFARON,43.32064949,6.300368624,384
6050,COURSEGOULES,43.79155803,7.036226435,385
4143,ORAISON,43.91110603,5.924580116,386
5072,LAYE,44.64174173,6.071039433,387
83125,SEILLONS-SOURCE-D'ARGENS,43.51509706,5.8769357,388
13009,LABARBEN,43.61838551,5.213850527,389
4041,LECASTELLET,43.91988849,5.979004953,390
6032,CAP-D'AIL,43.72473923,7.401616175,391
13202,MARSEILLE--2E--ARRONDISSEMENT,43.31269642,5.363649833,392
5154,SAINT-PIERRE-D'ARGENCON,44.51994649,5.690465129,393
4062,LACONDAMINE-CHATELARD,44.46276867,6.696291704,394
